Director,Movie,Date,Rating
"Charles Chaplin (dir.), Charles Chaplin, Edna Purviance",Το χαμίνι,(1921),8.2
"Jean-Pierre Jeunet (dir.), Audrey Tautou, Mathieu Kassovitz",Αμελί,(2001),8.2
"Vittorio De Sica (dir.), Lamberto Maggiorani, Enzo Staiola",Κλέφτης ποδηλάτων,(1948),8.2
"Brian De Palma (dir.), Al Pacino, Michelle Pfeiffer",Ο σημαδεμένος,(1983),8.2
"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",Τραγουδώντας στη βροχή,(1952),8.2
"David Lean (dir.), Peter O'Toole, Alec Guinness",Ο Λόρενς της Αραβίας,(1962),8.2
"Martin Scorsese (dir.), Robert De Niro, Jodie Foster",Ο ταξιτζής,(1976),8.2
"Lee Unkrich (dir.), Tom Hanks, Tim Allen",Toy Story 3,(2010),8.2
"George Roy Hill (dir.), Paul Newman, Robert Redford",Το κεντρί,(1973),8.2
"Fritz Lang (dir.), Brigitte Helm, Alfred Abel",Μητρόπολις,(1927),8.2
"Sergio Leone (dir.), Clint Eastwood, Lee Van Cleef",Μονομαχία στο Ελ Πάσο,(1965),8.2
"Billy Wilder (dir.), Fred MacMurray, Barbara Stanwyck",Με διπλή ταυτότητα,(1944),8.2
"Asghar Farhadi (dir.), Payman Maadi, Leila Hatami",Ένας χωρισμός,(2011),8.2
"Akira Kurosawa (dir.), Takashi Shimura, Nobuo Kaneko",Ο καταδικασμένος,(1952),8.2
"Robert Mulligan (dir.), Gregory Peck, John Megna",Σκιές και σιωπή,(1962),8.2
"Steven Spielberg (dir.), Harrison Ford, Sean Connery",Ο Ιντιάνα Τζόουνς και η τελευταία σταυροφορία,(1989),8.2
"Billy Wilder (dir.), Jack Lemmon, Shirley MacLaine",Η γκαρσονιέρα,(1960),8.2
"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",Καπερναούμ,(2018),8.2
"Pete Docter (dir.), Edward Asner, Jordan Nagai",Ψηλά στον ουρανό,(2009),8.2
"Curtis Hanson (dir.), Kevin Spacey, Russell Crowe",Λος Άντζελες: Εμπιστευτικό,(1997),8.2
"Terry Gilliam (dir.), Graham Chapman, John Cleese",Το αδελφάτο των ιπποτών της ελεεινής τραπέζης,(1975),8.2
"Denis Villeneuve (dir.), Lubna Azabal, Mélissa Désormeaux-Poulin",Μέσα από τις φλόγες,(2010),8.2
"Michael Mann (dir.), Al Pacino, Robert De Niro",Ένταση,(1995),8.2
"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",Ρασομόν,(1950),8.2
"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",Γιοζίμπο,(1961),8.2
"Christopher Nolan (dir.), Christian Bale, Michael Caine",Batman Begins,(2005),8.2
"John McTiernan (dir.), Bruce Willis, Alan Rickman",Πολύ σκληρός για να πεθάνει,(1988),8.2
"Clint Eastwood (dir.), Clint Eastwood, Gene Hackman",Οι ασυγχώρητοι,(1992),8.2
"Peter Farrelly (dir.), Viggo Mortensen, Mahershala Ali",Το πράσινο βιβλίο,(2018),8.2
"Oliver Hirschbiegel (dir.), Bruno Ganz, Alexandra Maria Lara",Η πτώση,(2004),8.2
"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",Τα παιδιά του παραδείσου,(1997),8.2
"Jeethu Joseph (dir.), Mohanlal, Kalabhavan Rahman",Drishyam,(2013),8.2
"Billy Wilder (dir.), Marilyn Monroe, Tony Curtis",Μερικοί το προτιμούν καυτό,(1959),8.2
"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",Το κινούμενο κάστρο,(2004),8.2
"John Sturges (dir.), Steve McQueen, James Garner",Η μεγάλη απόδραση,(1963),8.2
"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",Η γειτονιά του δάσους: Οι περιπέτειες του Τοτόρο,(1988),8.2
"Akira Kurosawa (dir.), Tatsuya Nakadai, Akira Terao",Ran,(1985),8.2
"Joseph L. Mankiewicz (dir.), Bette Davis, Anne Baxter",Όλα για την Εύα,(1950),8.2
"Ron Howard (dir.), Russell Crowe, Ed Harris",Ένας υπέροχος άνθρωπος,(2001),8.2
"Guillermo del Toro (dir.), Ivana Baquero, Ariadna Gil",Ο λαβύρινθος του Πάνα,(2006),8.2
"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",Έλα να δεις,(1985),8.2
"Martin Scorsese (dir.), Robert De Niro, Sharon Stone",Casino,(1995),8.2
"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",Το μυστικό στα μάτια της,(2009),8.2
"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",Οργισμένο είδωλο,(1980),8.2
"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",Δυο καπνισμένες κάνες,(1998),8.2
"Çagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",Babam ve Oglum,(2005),8.1
